Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
TH,Eichsfeld,16061092,Steinrode,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061093,Stöckey,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061094,Tastungen,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061096,Thalwenden,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061097,Uder,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061098,Volkerode,3,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061099,Vollenborn,2,,16061,37355,covered by DC rule!
TH,Eichsfeld,16061101,Wachstedt,2,,16061,37359,covered by DC rule!
TH,Eichsfeld,16061102,Wahlhausen,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061103,Wehnde,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061104,Weißenborn-Lüderode,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061105,Wiesenfeld,3,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061107,Wingerode,2,,16061,37327,covered by DC rule!
TH,Eichsfeld,16061111,Wüstheuterode,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061112,Zwinge,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061113,Schimberg,3,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061114,Teistungen,2,,16061,37339,covered by DC rule!
TH,Nordhausen,16062001,Auleben,2,,16062,,"DC rule (DC 16062): ZIP codes named are zone 3, others zone 2"
TH,Nordhausen,16062002,Bleicherode,2,,16062,99752,covered by DC rule!
TH,Nordhausen,16062004,Buchholz,3,,16062,,covered by DC rule!
TH,Nordhausen,16062005,Ellrich,3,,16062,99755,covered by DC rule!
TH,Nordhausen,16062006,Etzelsrode,2,,16062,,covered by DC rule!
TH,Nordhausen,16062007,Friedrichsthal,2,,16062,,covered by DC rule!
TH,Nordhausen,16062008,Görsbach,2,,16062,99765,covered by DC rule!
TH,Nordhausen,16062009,Großlohra,2,,16062,99759,covered by DC rule!
TH,Nordhausen,16062014,Hainrode/Hainleite,2,,16062,,covered by DC rule!
TH,Nordhausen,16062015,Hamma,2,,16062,,covered by DC rule!
TH,Nordhausen,16062016,Harzungen,3,,16062,,covered by DC rule!
TH,Nordhausen,16062017,Heringen/Helme,2,,16062,99765,covered by DC rule!
TH,Nordhausen,16062018,Herrmannsacker,3,,16062,,covered by DC rule!
TH,Nordhausen,16062022,Ilfeld,3,,16062,,covered by DC rule!
TH,Nordhausen,16062024,Kehmstedt,2,,16062,99752,covered by DC rule!
TH,Nordhausen,16062025,Kleinbodungen,2,,16062,,covered by DC rule!
TH,Nordhausen,16062026,Kleinfurra,2,,16062,99735,covered by DC rule!
TH,Nordhausen,16062029,Kraja,2,,16062,,covered by DC rule!
TH,Nordhausen,16062033,Lipprechterode,2,,16062,99752,covered by DC rule!
TH,Nordhausen,16062036,Neustadt/Harz,3,,16062,,covered by DC rule!
TH,Nordhausen,16062037,Niedergebra,2,,16062,99759,covered by DC rule!
TH,Nordhausen,16062038,Niedersachswerfen,3,,16062,,covered by DC rule!
TH,Nordhausen,16062039,Nohra,2,,16062,,covered by DC rule!
TH,Nordhausen,16062041,Nordhausen,2,,16062,99734,covered by DC rule!
TH,Nordhausen,16062042,Obergebra,2,,16062,,covered by DC rule!
TH,Nordhausen,16062044,Petersdorf,3,,16062,,covered by DC rule!
TH,Nordhausen,16062046,Rehungen,2,,16062,,covered by DC rule!
TH,Nordhausen,16062047,Rodishain,3,,16062,,covered by DC rule!
TH,Nordhausen,16062049,Sollstedt,2,,16062,99759,covered by DC rule!
TH,Nordhausen,16062052,Stempeda,2,,16062,,covered by DC rule!
TH,Nordhausen,16062054,Urbach,2,,16062,99765,covered by DC rule!
TH,Nordhausen,16062055,Uthleben,2,,16062,,covered by DC rule!
TH,Nordhausen,16062057,Windehausen,2,,16062,,covered by DC rule!
TH,Nordhausen,16062058,Wipperdorf,2,,16062,,covered by DC rule!
TH,Nordhausen,16062059,Wolkramshausen,2,,16062,,covered by DC rule!
TH,Nordhausen,16062062,Hohenstein,3,,16062,99755,covered by DC rule!
TH,Nordhausen,16062063,Werther,2,,16062,99735,covered by DC rule!
TH,Wartburgkreis,16063001,Andenhausen,2,,16063,,"DC rule (DC 16063): ZIP codes named are zone 3, others zone 2"
TH,Wartburgkreis,16063002,Bad Liebenstein,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063003,Bad Salzungen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063004,Barchfeld,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063006,Berka v.d.Hainich,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063007,Berka/Werra,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063008,Bischofroda,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063009,Brunnhartshausen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063011,Buttlar,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063013,Creuzburg,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063014,Dankmarshausen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063015,Dermbach,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063016,Diedorf/Rhön,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063017,Dippach,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063018,Dorndorf,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063019,Ebenshausen,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063023,Empfertshausen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063024,Ettenhausen a.d.Suhl,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063026,Fischbach/Rhön,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063028,Frankenroda,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063029,Frauensee,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063032,Geisa,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063033,Gerstengrund,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063097,Gerstungen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063036,Großensee,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063037,Hallungen,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063039,Ifta,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063041,Immelborn,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063043,Kaltenlengsfeld,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063044,Kaltennordheim,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063045,Klings,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063046,Krauthausen,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063049,Lauterbach,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063051,Leimbach,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063052,Marksuhl,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063053,Martinroda,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063054,Merkers-Kieselbach,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063055,Mihla,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063058,Nazza,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063059,Neidhartshausen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063062,Oechsen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063065,Rockenstuhl,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063066,Ruhla,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063068,Schleid,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063069,Schweina,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063071,Seebach,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063072,Stadtlengsfeld,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063073,Steinbach,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063075,Tiefenort,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063076,Treffurt,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063078,Unterbreizbach,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063081,Urnshausen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063082,Vacha,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063083,Völkershausen,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063084,Weilar,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063086,Wiesenthal,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063087,Wölferbütt,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063089,Wolfsburg-Unkeroda,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063092,Wutha-Farnroda,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063093,Zella/Rhön,2,,16063,,covered by DC rule!
TH,Wartburgkreis,16063094,Moorgrund,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063095,Hörselberg,3,,16063,,covered by DC rule!
TH,Wartburgkreis,16063096,Behringen,3,,16063,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064001,Altengottern,2,,16064,,"DC rule (DC 16064): ZIP codes named are zone 3, others zone 2"
TH,Unstrut-Hainich-Kreis,16064003,Bad Langensalza,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064004,Bad Tennstedt,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064005,Ballhausen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064007,Blankenburg,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064008,Bothenheilingen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064009,Bruchstedt,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064014,Dünwald,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064017,Flarchheim,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064018,Großengottern,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064019,Großvargula,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064021,Haussömmern,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064022,Herbsleben,2,,16064,,covered by DC rule!
