Land,Kreisfreie Stadt/Landkreis,Gemeinde,Gemeindeteil,Schneelastzone,DC,ZIP,comments
SN,Landkreis Sächsische Schweiz-Osterzgebirge,"Bad Schandau, Stadt",,2,14628,01814,covered by DC rule! (see zone 3)
SN,,Bannewitz,,2,14628,01728,covered by DC rule!
SN,,Dürrröhrsdorf-Dittersbach,,2,14628,01833,covered by DC rule!
SN,,"Freital, Stadt",,2,14628,01705,covered by DC rule!
SN,,"Heidenau, Stadt",,2,14628,01809,covered by DC rule!
SN,,"Hohnstein, Stadt",,2,14628,01848,covered by DC rule!
SN,,Lohmen,,2,14628,01847,covered by DC rule!
SN,,"Pirna, Stadt",,2,14628,01796,covered by DC rule!
,,"Rathen, Kurort",,2,14628,01824,covered by DC rule!
SN,,Rathmannsdorf,,2,14628,01814,covered by DC rule!
,,"Sebnitz, Stadt",Altendorf,2,14628,01855,covered by DC rule!
,,,Lichtenhain,2,14628,01856,covered by DC rule!
,,,Mittelndorf,2,14628,01857,covered by DC rule!
,,,Ottendorf,2,14628,01858,covered by DC rule!
,,,Saupsdorf,2,14628,01859,covered by DC rule!
SN,,"Stadt Wehlen, Stadt",,2,14628,01860,covered by DC rule!
SN,,"Stolpen, Stadt",,2,14628,01829,covered by DC rule!
SN,,Struppen,,2,14628,01833,covered by DC rule!
SN,,"Wilsdruff, Stadt",,2,14628,01723-01737,covered by DC rule!
SN,Landkreis Leipzig,,,2,14713,,covered by row 4
SN,Landkreis Nordsachsen,,,2,14730,,
SN,Kreisfreie Stadt Chemnitz,,,,,,
SN,Erzgebirgskreis,,,,,,
SN,Landkreis Mittelsachsen,"Augustusburg, Stadt",,,,,
SN,,Bobritzsch-Hilbersdorf,,,,,
SN,,"Brand-Erbisdorf, Stadt",,,,,
SN,,Dorfchemnitz,,,,,
SN,,Eppendorf,,,,,
SN,,"Flöha, Stadt",Falkenau,,,,
SN,,"Frauenstein, Stadt",,,,,
SN,,"Freiberg, Stadt",,,,,
SN,,Großhartmannsdorf,,,,,
SN,,"Großschirma, Stadt",,,,,
SN,,Halsbrücke,,,,,
SN,,Leubsdorf,,,,,
SN,,Lichtenberg/Erzgeb.,,,,,
SN,,Mulda/Sa.,,,,,
SN,,Neuhausen/Erzgeb.,,,,,
SN,,Oberschöna,,,,,
SN,,"Oederan, Stadt",,,,,
SN,,Rechenberg-Bienenmühle,,,,,
SN,,"Sayda, Stadt",,,,,
SN,,Weißenborn/Erzgeb.,,,,,
SN,Vogtlandkreis,"Auerbach/Vogtl., Stadt",,,,,
SN,,Bösenbrunn,,,,,
SN,,Eichigt,,,,,
SN,,Ellefeld,,,,,
SN,,"Falkenstein/Vogtl., Stadt",,,,,
SN,,"Grünbach, Höhenluftkurort",,,,,
SN,,"Klingenthal/Sa., Stadt",,,,,
SN,,"Lengenfeld, Stadt",,,,,
SN,,"Markneukirchen, Stadt",,,,,
SN,,Muldenhammer,,,,,
SN,,Reuth,,,,,
SN,,"Rodewisch, Stadt",,,,,
SN,,Schöneck/Vogtl. Stadt,,,,,
SN,,Steinberg,,,,,
SN,,Triebel/Vogtl.,,,,,
SN,,Weischlitz,Berglas,,,,
SN,,,Dröda,,,,
SN,,,Geilsdorf,,,,
SN,,,Grobau,,,,
SN,,,Großzöbern,,,,
SN,,,Gutenfürst,,,,
SN,,,Heinersgrün,,,,
SN,,,Kemnitz,,,,
SN,,,Kleinzöbern,,,,
SN,,,Krebes,,,,
SN,,,Pirk,,,,
SN,,,Rudewitz,,,,
SN,,,Schwand,,,,
SN,Landkreis Zwickau,Crinitzberg,,,,,
SN,,"Hartenstein, Stadt",,,,,
SN,,Hartmannsdorf b. Kirchberg,,,,,
SN,,Hirschfeld,,,,,
SN,,"Kirchberg, Stadt",,,,,
SN,,Langenweißbach,,,,,
SN,,"Wildenfels, Stadt",,,,,
SN,,"Wilkau-Haßlau, Stadt",,,,,
SN,Landkreis Bautzen,"Bautzen, Stadt/Budyšin",,,,,
SN,,Cunewalde,,,,,
SN,,Demitz-Thumitz,,,,,
SN,,Doberschau-Gaußig/Dobruša-Huska,,,,,
SN,,Göda/Hodźij,,,,,
SN,,Großdubrau/Wulka Dubrawa,,,,,
SN,,Großpostwitz/O.L./Budestecy,,,,,
SN,,Hochkirch/Bukecy ,,,,,
SN,,Kubschütz/Kubšicy,,,,,
SN,,Malschwitz/Malešecy,,,,,
SN,,Neukirch/Lausitz,,,,,
SN,,Obergurig/Hornja Hórka,,,,,
SN,,Radibor/Radwor,,,,,
SN,,"Schirgiswalde-Kirschau, Stadt",,,,,
SN,,Schmölln-Putzkau,,,,,
SN,,Sohland a. d. Spree,,,,,
SN,,Steinigtwolmsdorf,,,,,
SN,,"Weißenberg, Stadt/Wóspork",,,,,
SN,,"Wilthen, Stadt",,,,,
SN,Landkreis Görlitz,Beiersdorf,,,,,
SN,,"Bernstadt a. d. Eigen, Stadt",,,,,
SN,,Bertsdorf-Hörnitz,,,,,
SN,,Boxberg/O.L./Hamor,Dürrbach/Dyrbach,,,,
SN,,,Jahmen/Jamno,,,,
SN,,,Kaschel/Košla,,,,
SN,,,Klein-Oelsa/Wolešnica,,,,
SN,,,Klein-Radisch/Radšowk,,,,
SN,,,Klitten/Klêtno,,,,
SN,,,Tauer/Turjo,,,,
SN,,,Zimpel/Cympl,,,,
SN,,Dürrhennersdorf,,,,,
SN,,"Ebersbach-Neugersdorf/Sa., Stadt",,,,,
SN,,"Görlitz, Stadt",,,,,
SN,,Großschönau,,,,,
SN,,Großschweidnitz,,,,,
SN,,Hainewalde,,,,,
SN,,Hänichen,,,,,
SN,,"Herrnhut, Stadt",,,,,
SN,,Hohendubrau/Wysoka Dubrawa,,,,,
SN,,Horka,,,,,
SN,,"Jonsdorf, Kurort",,,,,
SN,,Kodersdorf,,,,,
SN,,Königshain,,,,,
SN,,Kottmar,,,,,
SN,,Kreba-Neudorf/Chrjebja-Nowa Wjes,,,,,
SN,,Lawalde,,,,,
SN,,Leutersdorf,,,,,
SN,,"Löbau, Stadt",,,,,
SN,,Markersdorf,,,,,
SN,,Mittelherwigsdorf,,,,,
SN,,Mücka/Mikow,,,,,
SN,,Neißeaue,,,,,
SN,,"Neusalza-Spremberg, Stadt",,,,,
SN,,"Niesky, Stadt",,,,,
SN,,Oderwitz,,,,,
SN,,Olbersdorf,,,,,
SN,,Oppach,,,,,
SN,,"Ostritz, Stadt",,,,,
SN,,Oybin,,,,,
SN,,Quitzdorf am See,,,,,
