Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
HE,Main-Kinzig-Kreis,06435009,Freigericht,1,,06435,63579,covered by DC rule!
HE,Main-Kinzig-Kreis,06435010,Gelnhausen,2,,06435,63571,covered by DC rule!
HE,Main-Kinzig-Kreis,06435011,Großkrotzenburg,1,,06435,63538,covered by DC rule!
HE,Main-Kinzig-Kreis,06435012,Gründau,2,,06435,63584,covered by DC rule!
HE,Main-Kinzig-Kreis,06435013,Hammersbach,1,,06435,63546,covered by DC rule!
HE,Main-Kinzig-Kreis,06435014,Hanau,1,,06435,63450,covered by DC rule!
HE,Main-Kinzig-Kreis,06435015,Hasselroth,1,,06435,63594,covered by DC rule!
HE,Main-Kinzig-Kreis,06435016,Jossgrund,2,,06435,63637,covered by DC rule!
HE,Main-Kinzig-Kreis,06435017,Langenselbold,1,,06435,63505,covered by DC rule!
HE,Main-Kinzig-Kreis,06435018,Linsengericht,2,,06435,63589,covered by DC rule!
HE,Main-Kinzig-Kreis,06435019,Maintal,1,,06435,63477,covered by DC rule!
HE,Main-Kinzig-Kreis,06435020,Neuberg,1,,06435,63543,covered by DC rule!
HE,Main-Kinzig-Kreis,06435021,Nidderau,1,,06435,61130,covered by DC rule!
HE,Main-Kinzig-Kreis,06435022,Niederdorfelden,1,,06435,61138,covered by DC rule!
HE,Main-Kinzig-Kreis,06435023,Rodenbach,1,,06435,63517,covered by DC rule!
HE,Main-Kinzig-Kreis,06435024,Ronneburg,1,,06435,63549,covered by DC rule!
HE,Main-Kinzig-Kreis,06435025,Schlüchtern,2a,,06435,36381,covered by DC rule!
HE,Main-Kinzig-Kreis,06435026,Schöneck,1,,06435,61137,covered by DC rule!
HE,Main-Kinzig-Kreis,06435027,Sinntal,2a,,06435,36391,covered by DC rule!
HE,Main-Kinzig-Kreis,06435028,Steinau an der Straße,2a,,06435,36396,covered by DC rule!
HE,Main-Kinzig-Kreis,06435029,Wächtersbach,2,,06435,63607,covered by DC rule!
HE,Main-Kinzig-Kreis,06435200,"Gutsbezirk Spessart, gemfr. Gebiet",2,,06435,none,covered by DC rule!
HE,Main-Taunus-Kreis,alle,alle ,1,,06436,,
HE,Odenwaldkreis,alle,alle,2,,06437,,
HE,Offenbach,alle,alle,1,,06438,,
HE,Rheingau-Taunus-Kreis,06439001,Aarbergen,2,,06439,65326,DC rule (DC 06439)
HE,Rheingau-Taunus-Kreis,06439002,Bad Schwalbach,2,,06439,65307,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439003,Eltville am Rhein,2,,06439,65345,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439004,Geisenheim,1,,06439,65366,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439005,Heidenrod,2,,06439,65321,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439006,Hohenstein,2,,06439,65329,covered by DC rule!
