Land,Stadtkreis (SK)/Landkreis (LK),Gemeinde,Schneelastzone,DC,ZIP,comments
BW,,"Argenbühl, Isny, Kißleg, Leutkirch i. Allgäu, Wangen i. Allgäu",3,,,
BW,LK Reutlingen,"Gomadingen, Hayingen, Hohenstein, Mehrstetten, Münsingen, Pfronstetten, Trochtelfingen, Zwiefalten",1,,,
BW,,"Alle Gemeinden, sofern nicht in Schneelastzone 1",2,,,
BW,LK Sigmaringen,Alle Gemeinden,1,,,
BW,LK Tübingen,Alle Gemeinden,2,,,
BW,Zollernalbkreis,"Bitz, Meßstetten (ohne Gemeindeteile Hossingen, Oberdigisheim und Tieringen), Nusplingen, Straßberg, Winterlingen",1,,,
BW,,"Alle Gemeinden und Gemeindeteile, sofern nicht in Zone 1",2,,,
BW,Bodensee ,Bodensee,1,,,
,,,,,,
Die Zuordnung zu den Scheelastzonen hat sich gegenüber der Verwaltungsvorschrift Technische Baubestimmungen vom 20. Dezember 2017 (GABl. S. 656) nicht geändert.,,,,,,
