Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone nach DIN EN 1991 Teil 1-3 ,wichtige Hinweise,DC,ZIP,comments
BY,Weilheim-Schongau,09190138,Pähl,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190139,Peißenberg,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190140,Peiting,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190141,Penzberg,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190142,Polling,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190143,Prem,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190144,Raisting,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190145,Rottenbuch,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190148,Schongau,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190149,Schwabbruck,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190151,Schwabsoien,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190152,Seeshaupt,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190153,Sindelsdorf,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190154,Steingaden,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190157,Weilheim i. OB,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190158,Wessobrunn,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190159,Wielenbach,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Weilheim-Schongau,09190160,Wildsteig,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09190,,covered by DC rule
BY,Landshut,09261000,Landshut,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09261,,
BY,Straubing,09263000,Straubing,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09263,,
BY,Deggendorf,09271111,Aholming,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,default zone is 2
BY,Deggendorf,09271113,Auerbach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271114,Außernzell,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271116,Bernried,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271118,Buchhofen,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271119,Deggendorf,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271122,Grafling,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271123,Grattersdorf,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271125,Hengersberg,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271126,Hunding,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271127,Iggensbach,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271128,Künzing,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271130,Lalling,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271132,Metten,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271135,Moos,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271138,Niederalteich,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271139,Oberpöring,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271140,Offenberg,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271141,Osterhofen,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271143,Otzing,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271146,Plattling,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271148,Schaufling,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271149,Schöllnach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271151,Stephansposching,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271152,Wallerfing,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Deggendorf,09271153,Winzer,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09271,,covered by DC rule
BY,Freyung-Grafenau,alle,alle,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09272,,
BY,Kelheim,alle,alle,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09273,,
BY,Landshut,alle,alle,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09274,,
BY,Passau,09275111,Aicha vorm Wald,>3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275112,Aidenbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275114,Aldersbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275116,Bad Füssing,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275124,Bad Griesbach i. Rottal,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275117,Beutelsbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275118,Breitenberg,>3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275119,Büchlberg,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,default zone is 3a
BY,Passau,09275120,Eging a. See,>3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275121,Fürstenstein,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275122,Fürstenzell,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275125,Haarbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275126,Hauzenberg,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275127,Hofkirchen,3,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275128,Hutthurm,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275130,Kirchham,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275131,Kößlarn,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275132,Malching,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275133,Neuburg a. Inn,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275134,Neuhaus a. Inn,3,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275135,Neukirchen vorm Wald,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275137,Obernzell,3,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275138,Ortenburg,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09262000,Passau,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09262,,covered by DC rule
BY,Passau,09275141,Pocking,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275143,Rotthalmünster,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275144,Ruderting,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275145,Ruhstorf a.d. Rott,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275146,Salzweg,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275148,Sonnen,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275149,Tettenweis,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275150,Thyrnau,3,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275151,Tiefenbach,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275152,Tittling,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275153,Untergriesbach,3,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275154,Vilshofen,2a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275156,Wegscheid,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275159,Windorf,3,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Passau,09275160,Witzmannsberg,3a,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09275,,covered by DC rule
BY,Regen,09276111,Achslach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,default zone is 3
BY,Regen,09276113,Arnbruck,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276115,Bayerisch Eisenstein,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276116,Bischofsmais,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276117,Bodenmais,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276118,Böbrach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276120,Drachselsried,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276121,Frauenau,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276122,Geiersthal,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276123,Gotteszell,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276126,Kirchberg i. Wald,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276127,Kirchdorf i. Wald,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276128,Kollnburg,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276129,Langdorf,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276130,Lindberg,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276134,Patersdorf,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276135,Prackenbach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276138,Regen,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276139,Rinchnach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276142,Ruhmannsfelden,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276143,Teisnach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276144,Viechtach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276146,Zachenberg,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Regen,09276148,Zwiesel,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09276,,covered by DC rule
BY,Rottal-Inn,09277111,Arnstorf,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,default zone is 2
BY,Rottal-Inn,09277113,Bad Birnbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277112,Bayerbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277114,Dietersburg,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277116,Eggenfelden,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277117,Egglham,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277118,Ering,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277119,Falkenberg,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277121,Gangkofen,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277122,Geratskirchen,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277124,Hebertsfelden,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277126,Johanniskirchen,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277127,Julbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277128,Kirchdorf a. Inn,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277131,Malgersdorf,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277133,Massing,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277134,Mitterskirchen,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277138,Pfarrkirchen,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277139,Postmünster,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277140,Reut,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277141,Rimbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277142,Roßbach,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277144,Schönau,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277145,Simbach a. Inn,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277147,Stubenberg,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277148,Tann,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277149,Triftern,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277151,Unterdietfurt,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277152,Wittibreut,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277153,Wurmannsquick,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Rottal-Inn,09277154,Zeilarn,2,"neue Schneelastzone aus dem Forschungsprojekt1) (sh. Tabellenblatt ""Erläuterung"")",09277,,covered by DC rule
BY,Straubing-Bogen,alle,"alle außer:
84082 Laberweinting, 84066 Mallersdorf-Pfaffenberg, 94333 Geiselhöring, 94339 Leiblfing, 94368 Perkam  = SLZ 1a",2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09278,,
BY,Dingolfing-Landau,09279112,Dingolfing,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,default zone is 1a
BY,Dingolfing-Landau,09279113,Eichendorf,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279115,Frontenhausen,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279116,Gottfrieding,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279122,Landau a.d. Isar,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279124,Loiching,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279125,Mamming,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279126,Marklkofen,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279127,Mengkofen,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
BY,Dingolfing-Landau,09279128,Moosthenning,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09279,,covered by DC rule
