Land,Kreisfreie Stadt/Landkreis,Gemeinde,Gemeindeteil,Schneelastzone,DC,ZIP,comments,,,
SN,,"Grünbach, Höhenluftkurort",,3,14523,08223,covered by DC rule,,,
SN,,"Klingenthal/Sa., Stadt",,3,14523,08248,covered by DC rule,,,
SN,,"Lengenfeld, Stadt",,3,14523,08454,covered by DC rule,,,
SN,,"Markneukirchen, Stadt",,3,14523,08258,covered by DC rule,,,
SN,,Muldenhammer,,3,14523,08262,covered by DC rule,,,
SN,,Reuth,,3,14523,08538,covered by DC rule,,,
SN,,"Rodewisch, Stadt",,3,14523,08228,covered by DC rule,,,
SN,,Schöneck/Vogtl. Stadt,,3,14523,08261,covered by DC rule,,,
SN,,Steinberg,,3,14523,08237,covered by DC rule,,,
SN,,Triebel/Vogtl.,,3,14523,08606,covered by DC rule,,,
SN,,Weischlitz,Berglas,3,14523,08538,covered by DC rule,,,
SN,,,Dröda,3,14523,08538,covered by DC rule,,,
SN,,,Geilsdorf,3,14523,08538,covered by DC rule,,,
SN,,,Grobau,3,14523,08538,covered by DC rule,,,
SN,,,Großzöbern,3,14523,08538,covered by DC rule,,,
SN,,,Gutenfürst,3,14523,08538,covered by DC rule,,,
SN,,,Heinersgrün,3,14523,08538,covered by DC rule,,,
SN,,,Kemnitz,3,14523,08538,covered by DC rule,,,
SN,,,Kleinzöbern,3,14523,08538,covered by DC rule,,,
SN,,,Krebes,3,14523,08538,covered by DC rule,,,
SN,,,Pirk,3,14523,08538,covered by DC rule,,,
SN,,,Rudewitz,3,14523,08538,covered by DC rule,,,
SN,,,Schwand,3,14523,08538,covered by DC rule,,,
SN,Landkreis Zwickau,Bernsdorf,,2,14524,,default zone is 2,,,
SN,,Callenberg,,2,14524,,covered by DC rule,,,
SN,,"Crimmitschau, Stadt",,2,14524,,covered by DC rule,,,
SN,,Dennheritz,,2,14524,,covered by DC rule,,,
SN,,Fraureuth,,2,14524,,covered by DC rule,,,
SN,,Gersdorf,,2,14524,,covered by DC rule,,,
SN,,"Glauchau, Stadt",,2,14524,,covered by DC rule,,,
SN,,"Hohenstein-Ernstthal, Stadt",,2,14524,,covered by DC rule,,,
SN,,Langenbernsdorf,,2,14524,,covered by DC rule,,,
SN,,"Lichtenstein/Sa., Stadt",,2,14524,,covered by DC rule,,,
SN,,Lichtentanne,,2,14524,,covered by DC rule,,,
SN,,"Limbach-Oberfrohna, Stadt",,2,14524,,covered by DC rule,,,
SN,,"Meerane, Stadt",,2,14524,,covered by DC rule,,,
SN,,Mülsen ,,2,14524,,covered by DC rule,,,
SN,,Neukirchen/Pleiße,,2,14524,,covered by DC rule,,,
SN,,Niederfrohna,,2,14524,,covered by DC rule,,,
SN,,"Oberlungwitz, Stadt",,2,14524,,covered by DC rule,,,
SN,,Oberwiera,,2,14524,,covered by DC rule,,,
SN,,Reinsdorf,,2,14524,,covered by DC rule,,,
SN,,Remse,,2,14524,,covered by DC rule,,,
SN,,Schönberg,,2,14524,,covered by DC rule,,,
SN,,St. Egidien,,2,14524,,covered by DC rule,,,
SN,,"Waldenburg, Stadt",,2,14524,,covered by DC rule,,,
SN,,Werdau,,2,14524,,covered by DC rule,,,
SN,,"Zwickau, Stadt",,2,14524,,covered by DC rule,,,
SN,Landkreis Zwickau,Crinitzberg,,3,14524,08147,covered by DC rule,,,
SN,,"Hartenstein, Stadt",,3,14524,08118,covered by DC rule,,,
SN,,Hartmannsdorf b. Kirchberg,,3,14524,08107,covered by DC rule,,,
SN,,Hirschfeld,,3,14524,08144,covered by DC rule,,,
SN,,"Kirchberg, Stadt",,3,14524,08107,covered by DC rule,,,
SN,,Langenweißbach,,3,14524,08134,covered by DC rule,,,
SN,,"Wildenfels, Stadt",,3,14524,08134,covered by DC rule,,,
SN,,"Wilkau-Haßlau, Stadt",,3,14524,08112,covered by DC rule,,,
SN,Landkreis Bautzen,Arnsdorf,,2,14625,,default zone is 2,,,
SN,,"Bernsdorf, Stadt",,2,14625,,covered by DC rule,,,
SN,,"Bischofswerda, Stadt",,2,14625,,covered by DC rule,,,
SN,,Bretnig-Hauswalde,,2,14625,,covered by DC rule,,,
SN,,Burkau,,2,14625,,covered by DC rule,,,
SN,,Crostwitz/Chrόsćicy,,2,14625,,covered by DC rule,,,
SN,,Elsterheide/Halštroska Hola,,2,14625,,covered by DC rule,,,
SN,,"Elstra, Stadt",,2,14625,,covered by DC rule,,,
SN,,Frankenthal,,2,14625,,covered by DC rule,,,
SN,,Großharthau,,2,14625,,covered by DC rule,,,
SN,,Großnaundorf,,2,14625,,covered by DC rule,,,
SN,,"Großröhrsdorf, Stadt",,2,14625,,covered by DC rule,,,
SN,,Haselbachtal,,2,14625,,covered by DC rule,,,
SN,,"Hoyerswerda, Stadt/Wojerecy",,2,14625,,covered by DC rule,,,
SN,,"Kamenz, Stadt/Kamjenc",,2,14625,,covered by DC rule,,,
SN,,"Königsbrück, Stadt",,2,14625,,covered by DC rule,,,
SN,,Königswartha/Rakecy,,2,14625,,covered by DC rule,,,
SN,,Laußnitz,,2,14625,,covered by DC rule,,,
SN,,"Lauta, Stadt",,2,14625,,covered by DC rule,,,
SN,,Lichtenberg,,2,14625,,covered by DC rule,,,
SN,,Lohsa/Łaz,,2,14625,,covered by DC rule,,,
SN,,Nebelschütz/Njebjelčicy,,2,14625,,covered by DC rule,,,
SN,,Neschwitz/Njeswačidlo,,2,14625,,covered by DC rule,,,
SN,,Neukirch,,2,14625,,covered by DC rule,,,
SN,,Ohorn,,2,14625,,covered by DC rule,,,
SN,,Oßling,,2,14625,,covered by DC rule,,,
SN,,Ottendorf-Okrilla,,2,14625,,covered by DC rule,,,
SN,,Panschwitz-Kuckau/Pančicy-Kukow,,2,14625,,covered by DC rule,,,
SN,,"Pulsnitz, Stadt",,2,14625,,covered by DC rule,,,
SN,,Puschwitz/Bóšicy,,2,14625,,covered by DC rule,,,
SN,,Räckelwitz/Worklecy ,,2,14625,,covered by DC rule,,,
SN,,"Radeberg, Stadt",,2,14625,,covered by DC rule,,,
SN,,Ralbitz-Rosenthal/Ralbicy-Rόžant,,2,14625,,covered by DC rule,,,
SN,,Rammenau,,2,14625,,covered by DC rule,,,
SN,,Schönteichen,,2,14625,,covered by DC rule,,,
SN,,Schwepnitz,,2,14625,,covered by DC rule,,,
SN,,Spreetal/Sprjewiny Doł,,2,14625,,covered by DC rule,,,
SN,,Steina,,2,14625,,covered by DC rule,,,
SN,,Wachau,,2,14625,,covered by DC rule,,,
SN,,"Wittichenau, Stadt/Kulow",,2,14625,,covered by DC rule,,,
SN,Landkreis Bautzen,"Bautzen, Stadt/Budyšin",,3,14625,02625,covered by DC rule,,,
SN,,Cunewalde,,3,14625,02733,covered by DC rule,,,
SN,,Demitz-Thumitz,,3,14625,01877,covered by DC rule,,,
SN,,Doberschau-Gaußig/Dobruša-Huska,,3,14625,"01877,02633,02692",covered by DC rule,,,
SN,,Göda/Hodźij,,3,14625,02633,covered by DC rule,,,
SN,,Großdubrau/Wulka Dubrawa,,3,14625,02694,covered by DC rule,,,
SN,,Großpostwitz/O.L./Budestecy,,3,14625,02692,covered by DC rule,,,
SN,,Hochkirch/Bukecy ,,3,14625,02627,covered by DC rule,,,
SN,,Kubschütz/Kubšicy,,3,14625,02627,covered by DC rule,,,
SN,,Malschwitz/Malešecy,,3,14625,02694,covered by DC rule,,,
SN,,Neukirch/Lausitz,,3,14625,01904,covered by DC rule,,,
SN,,Obergurig/Hornja Hórka,,3,14625,02692,covered by DC rule,,,
SN,,Radibor/Radwor,,3,14625,02627,covered by DC rule,,,
SN,,"Schirgiswalde-Kirschau, Stadt",,3,14625,02681,covered by DC rule,,,
SN,,Schmölln-Putzkau,,3,14625,01877,covered by DC rule,,,
SN,,Sohland a. d. Spree,,3,14625,02689,covered by DC rule,,,
SN,,Steinigtwolmsdorf,,3,14625,01904,covered by DC rule,,,
SN,,"Weißenberg, Stadt/Wóspork",,3,14625,02627,covered by DC rule,,,
SN,,"Wilthen, Stadt",,3,14625,02681,covered by DC rule,,,
SN,Landkreis Görlitz,"Bad Muskau, Stadt/Mužakow",,2,14626,02953,covered by DC rule,,,
SN,,Boxberg/O.L./Hamor,Bärwald/Bjerwald,2,14626,02943,covered by DC rule,,,02943 is ambiguous
SN,,,Boxberg/O.L./Hamor,2,14626,02943,covered by DC rule,,,
SN,,,Drehna/Tranje,2,14626,02943,covered by DC rule,,,
SN,,,Kringelsdorf/Krynhelecy,2,14626,02943,covered by DC rule,,,
SN,,,Mönau/Manjow,2,14626,02943,covered by DC rule,,,
SN,,,Nochten/Wochozy,2,14626,02943,covered by DC rule,,,
SN,,,Rauden/Rudej,2,14626,02943,covered by DC rule,,,
SN,,,Reichwalde/Rychwald,2,14626,02943,covered by DC rule,,,
SN,,,Sprey/Sprjowje,2,14626,02943,covered by DC rule,,,
SN,,,Uhyst/Delni Wujêzd,2,14626,02943,covered by DC rule,,,
SN,,Gablenz/Jabłońc,,2,14626,02953,covered by DC rule,,,
SN,,Groß Düben/Dźĕwin,,2,14626,02953-02959,covered by DC rule,,,
SN,,Krauschwitz/Krušwica,,2,14626,02957,covered by DC rule,,,
SN,,Rietschen/Rĕčicy,,2,14626,02956,covered by DC rule,,,
SN,,Schleife/Slepo,,2,14626,02959,covered by DC rule,,,
SN,,Trebendorf/Trjebin,,2,14626,02959,covered by DC rule,,,
SN,,Weißkeißel/Wuskidź,,2,14626,02957,covered by DC rule,,,
SN,,"Weißwasser/O.L., Stadt/Bĕla Woda",,2,14626,02943,covered by DC rule,,,
SN,Landkreis Görlitz,Beiersdorf,,3,14626,02736,default zone is 3,,,
SN,,"Bernstadt a. d. Eigen, Stadt",,3,14626,,covered by DC rule,,,
SN,,Bertsdorf-Hörnitz,,3,14626,,covered by DC rule,,,
